timestamp,open,high,low,close,volume
2024-08-26 00:00:00+05:30,2.34,2.39,2.27,2.33,69744
2024-08-27 00:00:00+05:30,2.29,2.39,2.29,2.32,29572
2024-08-28 00:00:00+05:30,2.3,2.35,2.3,2.31,48705
2024-08-29 00:00:00+05:30,2.31,2.35,2.19,2.32,208048
2024-08-30 00:00:00+05:30,2.32,2.35,2.26,2.31,32181
2024-09-02 00:00:00+05:30,2.33,2.35,2.25,2.26,46115
2024-09-03 00:00:00+05:30,2.31,2.32,2.27,2.3,28148
2024-09-04 00:00:00+05:30,2.31,2.38,2.26,2.36,81643
2024-09-05 00:00:00+05:30,2.45,2.45,2.31,2.36,52916
2024-09-06 00:00:00+05:30,2.41,2.41,2.29,2.3,25779
2024-09-09 00:00:00+05:30,2.31,2.39,2.21,2.36,78454
2024-09-10 00:00:00+05:30,2.39,2.45,2.28,2.37,90149
2024-09-11 00:00:00+05:30,2.37,2.39,2.3,2.36,56348
2024-09-12 00:00:00+05:30,2.36,2.4,2.26,2.31,31637
2024-09-13 00:00:00+05:30,2.26,2.38,2.26,2.33,28302
2024-09-16 00:00:00+05:30,2.35,2.4,2.35,2.37,41232
2024-09-17 00:00:00+05:30,2.38,2.45,2.34,2.35,61080
2024-09-18 00:00:00+05:30,2.35,2.35,2.26,2.26,59035
2024-09-19 00:00:00+05:30,2.26,2.26,2.14,2.17,187619
2024-09-20 00:00:00+05:30,2.17,2.23,2.06,2.1,190207
2024-09-23 00:00:00+05:30,2.15,2.19,2.1,2.13,66512
2024-09-24 00:00:00+05:30,2.16,2.18,2.07,2.16,59894
2024-09-25 00:00:00+05:30,2.16,2.26,2.08,2.12,49609
2024-09-26 00:00:00+05:30,2.12,2.19,2.07,2.13,44514
2024-09-27 00:00:00+05:30,2.13,2.23,2.02,2.13,243204
2024-09-30 00:00:00+05:30,2.23,2.23,2.23,2.23,51252
2024-10-01 00:00:00+05:30,2.34,2.34,2.34,2.34,99235
2024-10-03 00:00:00+05:30,2.45,2.45,2.45,2.45,124122
2024-10-04 00:00:00+05:30,2.57,2.57,2.57,2.57,204863
2024-10-07 00:00:00+05:30,2.69,2.69,2.44,2.61,691802
2024-10-08 00:00:00+05:30,2.61,2.74,2.56,2.71,186485
2024-10-09 00:00:00+05:30,2.83,2.84,2.63,2.8,213760
2024-10-10 00:00:00+05:30,2.88,2.88,2.68,2.75,138290
2024-10-11 00:00:00+05:30,2.7,2.77,2.61,2.61,219434
