timestamp,open,high,low,close,volume
2024-08-26 00:00:00+05:30,16.3,16.4,16.07,16.28,492122
2024-08-27 00:00:00+05:30,16.37,16.37,16.12,16.22,604102
2024-08-28 00:00:00+05:30,16.1,16.68,16.1,16.55,1716569
2024-08-29 00:00:00+05:30,16.65,18.48,16.65,18.21,11992753
2024-08-30 00:00:00+05:30,19.45,19.93,18.22,18.44,15370717
2024-09-02 00:00:00+05:30,18.4,18.4,17.62,17.84,3228805
2024-09-03 00:00:00+05:30,17.9,18.18,17.63,17.87,2535213
2024-09-04 00:00:00+05:30,17.5,18.09,17.5,17.71,1566348
2024-09-05 00:00:00+05:30,17.82,18.08,17.76,17.83,1136458
2024-09-06 00:00:00+05:30,17.93,17.98,17.15,17.4,1385767
2024-09-09 00:00:00+05:30,17.4,17.49,16.92,17.22,1038764
2024-09-10 00:00:00+05:30,17.38,17.5,17.12,17.35,873003
2024-09-11 00:00:00+05:30,17.41,18.75,17.07,18.43,5538804
2024-09-12 00:00:00+05:30,18.6,18.6,17.72,17.88,1720331
2024-09-13 00:00:00+05:30,18.14,18.2,17.79,18.02,1405930
2024-09-16 00:00:00+05:30,18.5,19.18,18.24,18.87,5930991
2024-09-17 00:00:00+05:30,18.87,19.3,18.55,18.8,5116803
2024-09-18 00:00:00+05:30,18.8,18.89,18.41,18.58,2413539
2024-09-19 00:00:00+05:30,19.12,19.44,17.84,18.17,3125018
2024-09-20 00:00:00+05:30,18.05,19.04,18.02,18.78,2967538
2024-09-23 00:00:00+05:30,18.97,19.22,17.98,18.24,3871178
2024-09-24 00:00:00+05:30,18.89,19.22,18.65,18.72,4866360
2024-09-25 00:00:00+05:30,18.75,20.7,18.74,20.04,15641398
2024-09-26 00:00:00+05:30,20.15,21.29,19.14,20.63,14903986
2024-09-27 00:00:00+05:30,21.5,21.99,19.61,19.8,19119648
2024-09-30 00:00:00+05:30,19.85,20.63,19.2,20.29,8413613
2024-10-01 00:00:00+05:30,20.49,20.78,19.8,19.98,5078788
2024-10-03 00:00:00+05:30,19.58,20.32,19.2,19.47,3511731
2024-10-04 00:00:00+05:30,19.4,19.87,18.8,19.0,4021550
2024-10-07 00:00:00+05:30,19.15,19.28,17.5,17.74,4165175
2024-10-08 00:00:00+05:30,17.82,18.9,17.81,18.75,2497699
