entry_date,entry_price,direction,exit_date,exit_price,pnl
2020-05-12 00:00:00+05:30,9196.55,neutral,2020-05-18 00:00:00+05:30,8823.25,373.2999999999993
2020-05-18 00:00:00+05:30,8823.25,neutral,2020-05-26 00:00:00+05:30,9029.05,-205.79999999999927
2020-05-26 00:00:00+05:30,9029.05,neutral,2020-06-01 00:00:00+05:30,9826.15,-797.1000000000004
2020-06-01 00:00:00+05:30,9826.15,neutral,2020-06-08 00:00:00+05:30,10167.45,-341.3000000000011
2020-06-11 00:00:00+05:30,9902.0,neutral,2020-06-16 00:00:00+05:30,9914.0,-12.0
2020-06-16 00:00:00+05:30,9914.0,neutral,2020-06-22 00:00:00+05:30,10311.2,-397.2000000000007
2020-06-22 00:00:00+05:30,10311.2,neutral,2020-06-29 00:00:00+05:30,10312.4,-1.1999999999989086
2020-06-29 00:00:00+05:30,10312.4,neutral,2020-07-06 00:00:00+05:30,10763.65,-451.25
2020-07-06 00:00:00+05:30,10763.65,neutral,2020-07-13 00:00:00+05:30,10802.7,-39.05000000000109
2020-07-13 00:00:00+05:30,10802.7,neutral,2020-07-20 00:00:00+05:30,11022.2,-219.5
2020-07-20 00:00:00+05:30,11022.2,neutral,2020-07-27 00:00:00+05:30,11131.8,-109.59999999999854
2020-07-27 00:00:00+05:30,11131.8,neutral,2020-08-03 00:00:00+05:30,10891.6,240.1999999999989
2020-08-03 00:00:00+05:30,10891.6,neutral,2020-08-10 00:00:00+05:30,11270.15,-378.5499999999993
2020-08-10 00:00:00+05:30,11270.15,neutral,2020-08-17 00:00:00+05:30,11247.1,23.049999999999272
2020-08-17 00:00:00+05:30,11247.1,neutral,2020-08-24 00:00:00+05:30,11466.45,-219.35000000000036
2020-08-24 00:00:00+05:30,11466.45,neutral,2020-08-31 00:00:00+05:30,11387.5,78.95000000000073
2020-08-31 00:00:00+05:30,11387.5,neutral,2020-09-07 00:00:00+05:30,11355.05,32.45000000000073
2020-09-07 00:00:00+05:30,11355.05,neutral,2020-09-14 00:00:00+05:30,11440.05,-85.0
2020-09-14 00:00:00+05:30,11440.05,neutral,2020-09-21 00:00:00+05:30,11250.55,189.5
2020-09-21 00:00:00+05:30,11250.55,neutral,2020-09-28 00:00:00+05:30,11227.55,23.0
2020-09-28 00:00:00+05:30,11227.55,neutral,2020-10-05 00:00:00+05:30,11503.35,-275.8000000000011
2020-10-05 00:00:00+05:30,11503.35,neutral,2020-10-12 00:00:00+05:30,11930.95,-427.60000000000036
2020-10-12 00:00:00+05:30,11930.95,neutral,2020-10-19 00:00:00+05:30,11873.05,57.900000000001455
2020-10-19 00:00:00+05:30,11873.05,neutral,2020-10-26 00:00:00+05:30,11767.75,105.29999999999927
2020-10-26 00:00:00+05:30,11767.75,neutral,2020-11-02 00:00:00+05:30,11669.15,98.60000000000036
2020-11-02 00:00:00+05:30,11669.15,neutral,2020-11-09 00:00:00+05:30,12461.05,-791.8999999999996
2020-11-09 00:00:00+05:30,12461.05,neutral,2020-11-14 00:00:00+05:30,12780.25,-319.2000000000007
2020-11-14 00:00:00+05:30,12780.25,neutral,2020-11-19 00:00:00+05:30,12771.7,8.549999999999272
2020-11-25 00:00:00+05:30,12858.4,neutral,2020-12-01 00:00:00+05:30,13109.05,-250.64999999999964
2020-12-01 00:00:00+05:30,13109.05,neutral,2020-12-07 00:00:00+05:30,13355.75,-246.70000000000073
2020-12-07 00:00:00+05:30,13355.75,neutral,2020-12-14 00:00:00+05:30,13558.15,-202.39999999999964
2020-12-14 00:00:00+05:30,13558.15,neutral,2020-12-21 00:00:00+05:30,13328.4,229.75
2020-12-21 00:00:00+05:30,13328.4,neutral,2020-12-28 00:00:00+05:30,13873.2,-544.8000000000011
2020-12-28 00:00:00+05:30,13873.2,neutral,2021-01-04 00:00:00+05:30,14132.9,-259.6999999999989
2021-01-04 00:00:00+05:30,14132.9,neutral,2021-01-11 00:00:00+05:30,14484.75,-351.85000000000036
2021-01-15 00:00:00+05:30,14433.7,neutral,2021-01-20 00:00:00+05:30,14644.7,-211.0
2021-01-20 00:00:00+05:30,14644.7,neutral,2021-01-25 00:00:00+05:30,14238.9,405.8000000000011
2021-01-25 00:00:00+05:30,14238.9,neutral,2021-02-01 00:00:00+05:30,14281.2,-42.30000000000109
2021-02-01 00:00:00+05:30,14281.2,neutral,2021-02-08 00:00:00+05:30,15115.8,-834.5999999999985
2021-02-08 00:00:00+05:30,15115.8,neutral,2021-02-15 00:00:00+05:30,15314.7,-198.90000000000146
2021-02-15 00:00:00+05:30,15314.7,neutral,2021-02-22 00:00:00+05:30,14675.7,639.0
